4-30-2018-9:17:19162,t60,0,10
38732,501,8,0F960ED00230022C
38780,600,1,01
38844,123,2,ABCD
38859,501,8,0F960ED0022D0233
38972,501,8,0F980ED002310230
39035,123,2,ABCD
39100,501,8,0F960ED0022F0233
39211,501,8,0F980ED402320229
39243,123,2,ABCD
39275,600,1,01
39339,501,8,0F950ED0022C022B
39435,123,2,ABCD
39452,501,8,0F940ED0022A022B
39578,501,8,0F930ED00229022B
39643,123,2,ABCD
39691,501,8,0F980ED00227022C
39770,600,1,01
39818,501,8,0F950ED0022C022C
39834,123,2,ABCD
39930,501,8,0F980ED0022F022A
40042,123,2,ABCD
40058,501,8,0F920ED00229022A
40171,501,8,0F950ED00231022D
40234,123,2,ABCD
40281,600,1,01
40298,501,8,0F9F0ED00230022C
40410,501,8,0F940ED00231022E
40441,123,2,ABCD
40537,501,8,0F980ED002300230
40633,123,2,ABCD
40649,501,8,0F940ED002340228
40777,501,8,0F9B0ED002320228
40841,123,2,ABCD
40889,501,8,0FA00ED0022D022C
41017,501,8,0F980ED0022B022C
41032,123,2,ABCD
41129,501,8,0F950ED00230022F
41240,123,2,ABCD
41257,501,8,0F960ED00227022B
41277,600,1,01
41372,501,8,0F960ED0022C022F
41433,123,2,ABCD
41497,501,8,0F950ED0022B0229
41609,501,8,0F980ED0022C022C
41641,123,2,ABCD
41736,501,8,0F940ED002300228
41785,600,1,01
41832,123,2,ABCD
41849,501,8,0F9C0ED0022C022B
41976,501,8,0F950ED002240222
42040,123,2,ABCD
42089,501,8,0F980ED40228022B
42215,501,8,0F940ED0022E022D
42232,123,2,ABCD
42280,600,1,01
42327,501,8,0F990ED0022B022D
42440,123,2,ABCD
42455,501,8,0F990ED402310228
42567,501,8,0F980ED402330228
42631,123,2,ABCD
42695,501,8,0F950ED00233022E
42775,600,1,01
42807,501,8,0F950ED0022A022A
42839,123,2,ABCD
42935,501,8,0F9A0ED0022E022B
43031,123,2,ABCD
43047,501,8,0F980ED00233022A
43174,501,8,0F990ED0022D022C
43239,123,2,ABCD
43270,600,1,01
43286,501,8,0FA10ED0022C022A
43415,501,8,0F9C0ED0022D022F
43430,123,2,ABCD
43527,501,8,0F9A0ED4022F022A
43638,123,2,ABCD
43654,501,8,0F950ED0022F0233
43766,501,8,0F980ED4022C022A
43781,600,1,01
43830,123,2,ABCD
43894,501,8,0F980ED0022E022C
44006,501,8,0F960ED0022C0226
44037,123,2,ABCD
44135,501,8,0F9C0ECC022B0226
44230,123,2,ABCD
44261,501,8,0F940ED0022F0225
44278,600,1,01
44373,501,8,0F980ED0022C0228
44438,123,2,ABCD
44486,501,8,0F940ED00234022C
44613,501,8,0FA00ED0022F022A
44630,123,2,ABCD
44741,501,8,0F930ED0022F022D
44773,600,1,01
44837,123,2,ABCD
44852,501,8,0F980ED0022E022D
44981,501,8,0FA00ED0022D022B
45029,123,2,ABCD
45093,501,8,0F940ED0022E022E
45220,022,8,
45236,123,2,ABCD
45268,600,1,01
45332,501,8,0F9D0ED00232022C
45428,123,2,ABCD
45459,501,8,0F980ED0022A022A
45571,501,8,0F910ED0022C0225
45637,123,2,ABCD
45700,501,8,0F950ED0022A022A
45779,600,1,01
45811,501,8,0F980ED0022F0228
45827,123,2,ABCD
45939,501,8,0FA00ED00230022B
46036,123,2,ABCD
46051,501,8,0F9F0ED0022D0222
46179,501,8,0F940ED0021D0214
46227,123,2,ABCD
46275,600,1,01
46291,501,8,0F940ED002340228
46418,501,8,0F960ED0022C0226
46434,123,2,ABCD
46530,501,8,0F960ED00230022C
46626,123,2,ABCD
46659,501,8,0F9A0ED40231022C
46770,501,8,0F930ED0022E022E
46834,123,2,ABCD
46898,501,8,0F980ED00232022E
47010,501,8,0F940ED0022F0231
47025,123,2,ABCD
47138,501,8,0F9C0ED0022A022D
47233,123,2,ABCD
47250,501,8,0F950ED0022F022A
47281,600,1,01
47377,501,8,0F990ED0022C022F
47425,123,2,ABCD
47489,501,8,0F950ED00234022A
47618,501,8,0F980ED00230022A
47633,123,2,ABCD
47728,501,8,0F940ED0022F022E
47776,600,1,01
47824,123,2,ABCD
47857,501,8,0F950ED00228022A
47970,501,8,0F950ED402300225
48032,123,2,ABCD
48096,501,8,0F980ED0022E0228
48208,501,8,0F950ED0022E022E
48225,123,2,ABCD
48273,600,1,01
48336,501,8,0F990ED00228022B
48431,123,2,ABCD
48449,501,8,0FA00ED002310226
48576,501,8,0F980ED0022A022C
48624,123,2,ABCD
48687,501,8,0F9C0ED00235022E
48768,600,1,01
48816,501,8,0F940ED0023B022A
48831,123,2,ABCD
48928,501,8,0F9A0ED00229022C
49025,123,2,ABCD
49055,501,8,0F980ECC02320234
49167,501,8,0F980ED00229022D
49231,123,2,ABCD
49279,600,1,01
49296,501,8,0F990ED0022B0230
49406,501,8,0F940ED0022D022C
49439,123,2,ABCD
49536,501,8,0F960ED0022D022C
49631,123,2,ABCD
49647,501,8,0F930ECC022F022F
49774,501,8,0F930ED0022D0228
49839,123,2,ABCD
49887,501,8,0F980ED0022E0232
50014,501,8,0F9F0ED402280228
50030,123,2,ABCD
50126,501,8,0F950ED4022D0225
50238,123,2,ABCD
50254,501,8,0F980ED0022B0230
50269,600,1,01
50366,501,8,0F940ED0020801F2
50430,123,2,ABCD
50494,501,8,0F940ED0022D0226
50606,501,8,0F9F0ED0022F022B
50637,123,2,ABCD
50733,501,8,0F930ED002300229
50766,600,1,01
50829,123,2,ABCD
50845,501,8,0FA00ED5022C022B
50973,501,8,0F990ED0022F022A
51037,123,2,ABCD
51085,501,8,0F940ED002330229
51213,501,8,0F930ED002320230
51228,123,2,ABCD
51276,600,1,01
51324,501,8,0F980ED00230022E
51436,123,2,ABCD
51453,501,8,0F980ED0022A022D
51565,501,8,0F980ED0022F022B
51629,123,2,ABCD
51692,501,8,0F910ECD022E0226
51773,600,1,01
51804,501,8,0F950ED00230022A
51836,123,2,ABCD
51931,501,8,0F940ED40229022D
52029,123,2,ABCD
52043,501,8,0F980ED0022F0228
52172,501,8,0F9E0ED0022D0225
52235,123,2,ABCD
52268,600,1,01
52284,501,8,0FA00ED0022E022E
52411,501,8,0F940ED002320230
52428,123,2,ABCD
52523,501,8,0F9A0ED4022C0231
52636,123,2,ABCD
52652,501,8,0F980ED002290226
52763,501,8,0FA00ED0022D0228
52779,600,1,01
52827,123,2,ABCD
52891,501,8,0F990ED0022C022C
53002,501,8,0F980ED0022F0228
53035,123,2,ABCD
53131,501,8,0F960ED0022E0230
53227,123,2,ABCD
53243,501,8,0F980ED002310232
53274,600,1,01
53370,501,8,0F990ED00231022F
53434,123,2,ABCD
53482,501,8,0F980ECC02260226
53610,501,8,0F980ED00231022A
53626,123,2,ABCD
53722,501,8,0F980ED0022D022A
53769,600,1,01
53834,123,2,ABCD
53850,501,8,0F920ED0022B0229
53962,501,8,0F930ED002330228
54025,123,2,ABCD
54090,501,8,0F940ED00234022A
54202,501,8,0F9B0ED00228022A
54233,123,2,ABCD
54264,600,1,01
54329,501,8,0F980ED0022C0229
54425,123,2,ABCD
54441,501,8,0F990ED0022C022C
54568,501,8,0F980ED0022F0230
54632,123,2,ABCD
54680,501,8,0F950ED00223022F
54776,600,1,01
54809,501,8,0F9B0ED0022F0228
54824,123,2,ABCD
54920,501,8,0F900ED00229022C
55032,123,2,ABCD
55048,501,8,0F940ED00233022E
55160,501,8,0F9F0ED00231022B
55225,123,2,ABCD
55272,600,1,01
55287,501,8,0F930ED0020A0208
55400,501,8,0F940ED00228022B
55433,123,2,ABCD
55528,501,8,0F940ED00235022A
55624,123,2,ABCD
55640,501,8,0F960ED0022E0228
55768,501,8,0F9A0ED4022B0228
55832,123,2,ABCD
55880,501,8,0F980ED00228022A
56007,501,8,0F980ED0022D0229
56024,123,2,ABCD
56119,501,8,0F980ED00227022E
56231,123,2,ABCD
56248,501,8,0F9C0ED002310224
56263,600,1,01
56358,501,8,0F950ED00235022E
56423,123,2,ABCD
56487,501,8,0F910ED0022C022E
56600,501,8,0F960ED002340228
56631,123,2,ABCD
56726,501,8,0FA00ED002310224
56774,600,1,01
56822,123,2,ABCD
56838,501,8,0F920ED002300226
56966,501,8,0F990ED0022D022E
57030,123,2,ABCD
57078,501,8,0F960ED0022D022E
57206,501,8,0F980ED0022F0230
57221,123,2,ABCD
57269,600,1,01
57317,501,8,0F960ED00229022C
57429,123,2,ABCD
57446,501,8,0F940ED002310228
57558,501,8,0FA00ED0022D022E
57621,123,2,ABCD
57685,501,8,0F950ED0022C0231
57766,600,1,01
57797,501,8,0F950ED0022C022E
57829,123,2,ABCD
57924,501,8,0FA00ED0022D022C
58020,123,2,ABCD
58037,501,8,0F980ED402220224
58165,501,8,0F950ED002310222
58228,123,2,ABCD
58276,600,1,01
58404,501,8,0F980ED0022C022B
58421,123,2,ABCD
58517,501,8,0F940ED0022E022C
58627,123,2,ABCD
58644,501,8,0F980ED0022D022A
58756,501,8,0F950ED4022A022B
58771,600,1,01
58820,123,2,ABCD
58883,501,8,0F940ED0022E022E
58995,501,8,0F980ED0022B022B
59027,123,2,ABCD
59124,501,8,0F8F0ED0022F022B
59220,123,2,ABCD
59251,501,8,0F940ED0022E022C
59267,600,1,01
59363,501,8,0F9C0ED0022C0228
59427,123,2,ABCD
59475,501,8,0F9B0ED002230217
59603,501,8,0F9F0ED0022E022C
59619,123,2,ABCD
59716,501,8,0F980ED00230022B
59762,600,1,01
59827,123,2,ABCD
59843,501,8,0F950ED002320226
59970,501,8,0F930ED002220230
60018,123,2,ABCD
60083,501,8,0F940ED002320230
60195,501,8,0F930ED0022A022B
60227,123,2,ABCD
60274,600,1,01
60322,501,8,0F980ED0022D0225
60418,123,2,ABCD
60434,501,8,0F930ED0022E022C
60562,501,8,0F940ED4022E022C
60626,123,2,ABCD
60690,501,8,0F970ED0022C022C
60772,600,1,01
60802,501,8,0F960ED0022D022A
60818,123,2,ABCD
60914,501,8,0F980ED0022F0228
61027,123,2,ABCD
61041,501,8,0F980ED002370228
61170,501,8,0F940ED0022B0221
61218,123,2,ABCD
61267,600,1,01
61281,501,8,0F980ED0022C0222
61409,501,8,0F930ED0022C022E
61425,123,2,ABCD
61521,501,8,0F980ED2022F022C
61617,123,2,ABCD
61633,501,8,0FA20ED0022C0228
61761,501,8,0F9B0ED0022C022C
61825,123,2,ABCD
61889,501,8,0F9A0ED0022E022A
62000,501,8,0F9F0ED0022B0228
62018,123,2,ABCD
62129,501,8,0F920ED0022D022E
62224,123,2,ABCD
62241,501,8,0F990ED002230220
62272,600,1,01
62368,018,0,F9
62416,123,2,ABCD
62481,501,8,0F950ED00232022C
62609,501,8,0F9A0ED4022E0228
62624,123,2,ABCD
62719,501,8,0F960ED0022C022E
62767,600,1,01
62815,123,2,ABCD
62848,501,8,0F980ED0022C022A
62960,501,8,0F940ED40238022E
63024,123,2,ABCD
63087,501,8,0F930ED4022C0228
63199,501,8,0F980ED40231022B
63215,123,2,ABCD
63264,600,1,01
63327,501,8,0F940ED0022E0228
63422,123,2,ABCD
63439,501,8,0F9F0ED0022C0233
63567,501,8,0F990ED0022C0226
63615,123,2,ABCD
63678,501,8,0F950ED00232022E
63774,600,1,01
63807,501,8,0FA00ED0022E022A
63822,123,2,ABCD
63917,501,8,0F940ED002320228
64015,123,2,ABCD
64047,501,8,0F930ED0022C0228
64158,501,8,0F940ED0022A0228
64221,123,2,ABCD
64269,600,1,01
64285,501,8,0F930ED00226021F
64398,501,8,0FA00ECE021C0218
64414,123,2,ABCD
64525,501,8,0F910ED0022F022A
64623,123,2,ABCD
64637,501,8,0F940ED0022E022C
64765,501,8,0FA00ED0022E022B
64813,123,2,ABCD
64877,501,8,0F9C0ED0022D022E
65005,501,8,0F940ED00238022E
65021,123,2,ABCD
65117,501,8,0F950ED002340224
65213,123,2,ABCD
65244,501,8,0F9C0ED002310231
65260,600,1,01
65356,501,8,0F990ED4022F0228
65420,123,2,ABCD
65485,501,8,0F980ED0022C0222
65597,501,8,0F9B0ED0022F022C
65613,123,2,ABCD
65724,501,8,0FA00ED00229022B
65772,600,1,01
65820,123,2,ABCD
65836,501,8,0F950ED0022C0230
65964,501,8,0F980ED00230022B
66013,123,2,ABCD
66076,501,8,0F940ED0022D0229
66204,501,8,0F950ED002260222
66219,123,2,ABCD
66267,600,1,01
66316,501,8,0F980ED0022E022A
66412,123,2,ABCD
66443,501,8,0F980ED0022E022B
66556,501,8,0F980ED0022B022A
66620,123,2,ABCD
66683,501,8,0FA00ED0022B022C
