4-30-2018-9:17:18130,6B1,8,0086002C1919009D
140,123,2,ABCD
153,420,6,FDB7000002DA
199,501,8,0FB70EF402A002A2
231,6B1,8,0086002C1919009D
248,420,6,FDB2001702E6
264,490,3,900000
312,420,6,FDB2000102D2
327,6B1,8,0086002C1919009D
344,123,2,ABCD
366,200,1,40
398,420,6,FDB8000502DC
429,6B1,8,0086002C1919009D
445,501,8,0FBD0EE4029C02A2
462,420,6,FDB6000D02D0
477,600,1,01
510,420,6,FDB9000902D9
541,6B1,8,0086002C1919009D
568,420,6,FDB6000C02D5
599,200,1,40
647,6B1,8,0086002C1919009D
663,490,3,900000
679,501,8,0FC00EF402A0029E
711,420,6,FDB6000902DC
742,123,2,ABCD
759,420,6,FDB5000702D3
790,501,8,0FC50EF402A2029A
807,420,6,FDB5000802D8
862,200,1,40
895,420,6,FDB7000902D5
910,501,8,0FBB0EF602A2028C
943,123,2,ABCD
962,420,6,FDB6000802D5
978,600,1,01
995,420,6,FDB6000602D7
1043,501,8,0FBA0EF402A70299
1069,420,6,FDB5000802D6
1100,200,1,40
1131,123,2,ABCD
1146,420,6,FDB6000602D5
1163,501,8,0FBC0EF402A3029E
1194,420,6,FDB8000802D4
1274,420,6,FDBA000902D5
1306,420,6,FDB8000B02D7
1337,123,2,ABCD
1361,200,1,40
1377,6B1,8,0086002C1919009D
1393,501,8,0FBA0EF4029D0298
1457,420,6,FDB7000702D4
1473,6B1,8,0086002C1919009D
1505,420,6,FDB6000702D3
1520,501,8,0FBF0EF4029E029E
1536,123,2,ABCD
1553,420,6,FDB7000602D4
1584,6B1,8,0086002C1919009D
1601,200,1,40
1632,501,8,0FC10EFC02C1029C
1649,420,6,FDB6000902D2
1680,6B1,8,0086002C1919009D
1697,420,6,FDB7000802D4
1728,123,2,ABCD
1744,420,6,FDB7000802D3
1761,501,8,0FCA0EF402A6028C
1793,6B1,8,0086002C1919009D
1842,200,1,40
1857,420,6,FDB8000702D4
1872,501,8,0FBE0F0402A202A1
1888,6B1,8,0086002C1919009D
1905,420,6,FDB6000702D6
