4-30-2018-9:17:8162,501,8,0F950ED402A2029F
10398,490,3,900000
10462,501,8,0F980ED002A402A2
10493,490,3,900000
10541,200,1,48
10574,123,2,ABCD
10589,501,8,0F980ED202AC02A0
10686,490,3,900000
10701,501,8,0F900ED002A3029C
10765,600,1,01
10782,200,1,48
10830,501,8,0F920EC402A3029C
10894,490,3,900000
10942,501,8,0F950ED402B802A0
10973,123,2,ABCD
10990,490,3,900000
11038,200,1,48
11069,501,8,0F9A0ED002AE029A
11085,490,3,900000
11165,123,2,ABCD
11181,501,8,0FA00ED002A102A2
11260,600,1,01
11293,200,1,48
11309,501,8,0F900ED002A102A4
11373,123,2,ABCD
11389,490,3,900000
11421,501,8,0F990ED002A902B0
11485,490,3,900000
11533,200,1,48
11549,501,8,0F970ECD02A402A6
11565,123,2,ABCD
11597,490,3,900000
11661,501,8,0F9A0ED402A002A3
11693,490,3,900000
11772,123,2,ABCD
11797,501,8,0F930ED002A3029E
11893,490,3,900000
11909,501,8,0FA20ED002A802A0
11974,123,2,ABCD
11989,490,3,900000
12022,501,8,0F910ED0029F02A4
12038,200,1,48
12086,490,3,900000
12149,501,8,0F910ED002A6029E
12165,123,2,ABCD
12182,490,3,900000
12261,501,8,0F900ED002A002A4
12292,200,1,48
12373,123,2,ABCD
12389,501,8,0F960EE002A702A0
12485,490,3,900000
12500,501,8,0F950ED002A502A2
12533,200,1,48
12564,123,2,ABCD
12581,490,3,900000
12629,501,8,0F900ED002A40298
12693,490,3,900000
12741,501,8,0F940ED402A902A1
12772,123,2,ABCD
12789,200,1,48
12869,501,8,0F950EC6029602A3
12885,490,3,900000
12964,123,2,ABCD
12982,501,8,0F900ED0029F02A4
12997,100,0,0
13044,200,1,48
13092,490,3,900000
13108,501,8,0F980ED002AA02A2
13172,123,2,ABCD
13188,490,3,900000
13220,501,8,0F930ECC02B002A2
13268,600,1,01
13284,200,1,48
13348,501,8,0F950ED002A102A0
13363,123,2,ABCD
13396,490,3,900000
13459,501,8,0F950ED002A002A8
13492,490,3,900000
13540,200,1,48
13571,123,2,ABCD
13588,501,8,0F980ED0028602A4
13683,490,3,900000
13700,501,8,0F980ED002A602A3
13763,123,2,ABCD
13795,200,1,48
13827,501,8,0F950ED402A0029F
13891,490,3,900000
13939,501,8,0F960ED002A9029B
13970,123,2,ABCD
13987,490,3,900000
14035,200,1,48
14066,501,8,0FAC0ED002A702A8
14083,490,3,900000
14162,123,2,ABCD
14178,501,8,0F980ED0029F029F
14195,490,3,900000
14258,600,1,01
14291,200,1,48
14306,501,8,0FA00EE0028A029E
14370,123,2,ABCD
14386,490,3,900000
14418,501,8,0F940ED002A4029C
14482,490,3,900000
14531,200,1,48
14546,501,8,0F960ED0029F02A5
14561,123,2,ABCD
14594,490,3,900000
14658,501,8,0F950ED002A5029F
14690,490,3,900000
14769,123,2,ABCD
14797,501,8,0F940ED002AC0298
14893,490,3,900000
14908,501,8,0F9A0ED002A302A4
14957,123,2,ABCD
14989,490,3,900000
15020,501,8,0F920ED002A502A3
15036,200,1,48
15084,490,3,900000
15149,501,8,0F980ED002A102A3
15164,123,2,ABCD
15180,490,3,900000
15259,501,8,0F960ED0029F02A3
15292,200,1,48
15356,123,2,ABCD
15388,501,8,0F9D0ED002A402A4
15484,490,3,900000
15500,501,8,0F950ED002A802A6
15532,200,1,48
15563,123,2,ABCD
15596,490,3,900000
15627,501,8,0F9A0EE4029C02A6
15694,490,3,900000
15740,501,8,0F9A0ED002A402A4
15764,123,2,ABCD
15773,600,1,01
15787,200,1,48
15869,501,8,0F960ED402A002A0
15889,490,3,900000
15965,123,2,ABCD
15979,501,8,0F990ED402A9028B
15995,490,3,900000
16043,200,1,48
16091,490,3,900000
16107,501,8,0FA00ED002A102A4
16155,123,2,ABCD
16187,490,3,900000
16218,501,8,0FA80ED002A102A6
16266,600,1,01
16282,200,1,48
16347,501,8,0F9F0ED002A802A6
16362,123,2,ABCD
16394,490,3,900000
16458,501,8,0F5E0ED002A902A4
16490,490,3,900000
16538,200,1,48
16554,123,2,ABCD
16586,501,8,0F930ED002A602A8
16682,490,3,900000
16698,501,8,0F500ED402A502A0
16761,123,2,ABCD
16794,200,1,48
16825,501,8,0F990EC40280029F
16890,490,3,900000
16938,501,8,0F940ECC02AA02A4
16954,123,2,ABCD
16985,490,3,900000
17033,200,1,48
17065,501,8,0F950EBE029102A3
17081,490,3,900000
17162,123,2,ABCD
17177,501,8,0F970ED002A202A7
17193,490,3,900000
17257,600,1,01
17289,200,1,48
17307,501,8,0F900ED002A302A6
17353,123,2,ABCD
17385,490,3,900000
17418,501,8,0F950ED402A502A3
17480,490,3,900000
17545,200,1,48
17561,123,2,ABCD
17593,490,3,900000
17657,501,8,0F9E0ED002A3029B
17688,490,3,900000
17753,123,2,ABCD
17769,600,1,01
17796,501,8,0F9F0ED002AA029E
17891,490,3,900000
17908,501,8,0F9A0ED002A402BB
17956,123,2,ABCD
17987,490,3,900000
18020,501,8,0F980ED002A102A6
18035,200,1,48
18083,490,3,900000
18147,501,8,0F960ED002A902A6
18163,123,2,ABCD
18180,490,3,900000
18259,501,8,0F9A0ED002A902A3
18291,200,1,48
18355,123,2,ABCD
18386,501,8,0F940ED402A1029F
18484,490,3,900000
18498,501,8,0F930EC502A102A2
18531,200,1,48
18563,123,2,ABCD
18579,490,3,900000
18627,501,8,0FB50ED002A102A4
18690,490,3,900000
18738,501,8,0F930ED002A302A0
18754,123,2,ABCD
18771,600,1,01
18787,200,1,48
18867,501,8,0F9C0ECC02A3029B
18888,490,3,900000
18965,123,2,ABCD
18978,501,8,0FA10ED402A7029D
18994,490,3,900000
19043,200,1,48
19091,490,3,900000
19106,501,8,0F940ED402A8029C
19154,123,2,ABCD
19186,490,3,900000
19218,501,8,0F960ED402A9029F
19266,600,1,01
19285,200,1,48
19348,501,8,0FA30ED002A2029F
19361,123,2,ABCD
19394,490,3,900000
19457,501,8,0F930ED402A202A2
19490,490,3,900000
19538,200,1,48
19554,123,2,ABCD
19586,501,8,0F900ED502A902A2
19681,490,3,900000
19698,501,8,0F960ECC028302A2
19761,123,2,ABCD
19794,200,1,48
19825,501,8,0FA30ED002A602AC
19889,490,3,900000
19937,501,8,0F950ECC029F02A2
19954,123,2,ABCD
19985,490,3,900000
20033,200,1,48
20064,501,8,0F980ED002A602A6
20081,490,3,900000
20162,123,2,ABCD
20177,501,8,0F7A0ED402A2029E
20193,490,3,900000
20257,600,1,01
20289,200,1,48
20308,501,8,0F9C0ED40297029B
20353,123,2,ABCD
20385,490,3,900000
20418,501,8,0FA80ED002AC02A0
20480,490,3,900000
20528,200,1,48
20544,501,8,0F7A0EC602A502A8
20561,123,2,ABCD
20592,490,3,900000
20657,501,8,0F910ED402A2029A
20688,490,3,900000
20752,123,2,ABCD
20769,600,1,01
20794,501,8,0F9A0ECC02AC02A6
20890,490,3,900000
20954,123,2,ABCD
20985,490,3,900000
21018,501,8,0FA00EC702A002A4
21035,200,1,48
21082,490,3,900000
21130,501,8,0F9F0ED002BA02A8
21162,123,2,ABCD
21178,490,3,900000
21258,501,8,0F980ED002A002A2
21289,200,1,48
21353,123,2,ABCD
21370,501,8,0F950ED002B0028E
21385,490,3,900000
21482,490,3,900000
21497,501,8,0F930ECC02C402A2
21530,200,1,48
21561,123,2,ABCD
21578,490,3,900000
21609,501,8,0F950ECC02A302A4
21690,490,3,900000
21738,501,8,0F980ED002A202A3
21753,123,2,ABCD
21769,600,1,01
21786,200,1,48
21849,501,8,0F9D0ECC029D02A3
21881,490,3,900000
21961,123,2,ABCD
21977,501,8,0F980ED002A1029A
22041,200,1,48
22089,490,3,900000
22152,123,2,ABCD
22186,490,3,900000
22216,501,8,0FA00EC4027D02A4
22264,600,1,01
22281,200,1,48
22328,501,8,0FC00ED002A402A0
22360,123,2,ABCD
22376,490,3,900000
22457,501,8,0F940ED002A702A3
22488,490,3,900000
22536,200,1,48
22553,123,2,ABCD
22568,501,8,0FA00ED002A4029B
22584,490,3,900000
22680,490,3,900000
22696,501,8,0F940ED402A402A2
22760,123,2,ABCD
22792,001,4,8
22807,501,8,0F980ED002A202A2
22888,490,3,900000
22936,501,8,0F940ED002A602A0
22952,123,2,ABCD
22984,490,3,900000
23032,200,1,48
23048,501,8,0F990ED002A402A4
23079,490,3,900000
23159,123,2,ABCD
23175,501,8,0F980ED002AA029C
23191,490,3,900000
23254,600,1,01
23302,200,1,48
23351,123,2,ABCD
23383,490,3,900000
