4-30-2018-7:20:45109,501,8,0E8A0E9402B502D3
7578,490,3,909D73
7608,6B1,8,00DC0000191900C7
7657,123,2,ABCD
7681,501,8,06DC075302A702A6
7714,6B1,8,00DC0000191900C7
7777,490,3,90BF7C
7793,501,8,065806D702A702A2
7810,6B1,8,00DC0000191900C7
7857,2AB,C,32ABC
7874,490,3,90FE7F
7905,501,8,065406E002AB02B5
7922,6B1,8,00DC0000191900C7
7970,490,3,90FE7F
8017,6B1,8,00DC0000191900C7
8033,501,8,069C071102B302A0
8049,123,2,ABCD
8065,490,3,90FE7F
8128,6B1,8,00DC0000191900C7
8145,501,8,06C3076A02A802A2
8161,600,1,01
8179,200,1,0A
8226,6B1,8,00DC0000191900C7
8257,123,2,ABCD
8273,501,8,06E60747029E02B0
8336,6B1,8,00DC0000191900C7
8377,490,3,90D27C
8387,501,8,06750750029D0292
8417,200,1,0A
8432,6B1,8,00DC0000191900C7
8448,123,2,ABCD
8465,490,3,90FE7F
8513,501,8,070807AC02A202A2
8544,6B1,8,00DC0000191900C7
8577,490,3,909477
8625,501,8,0583066C029C02BD
8640,6B1,8,00DC0000191900C7
8656,123,2,ABCD
8672,200,1,0A
8757,501,8,05B5068402A102A8
8768,490,3,90FE7F
8848,123,2,ABCD
8864,501,8,0592061402AB02A2
8880,601,4,00000000
8928,200,1,0A
8960,6B1,8,00DC0000191900C7
8976,490,3,90FE7F
8991,501,8,05B7067002A002A4
9055,123,2,ABCD
9072,6B1,8,00DC0000191900C7
9103,501,8,06F20745029C02A6
9180,600,1,01
9228,501,8,05D106DF02AC029B
9244,123,2,ABCD
9276,6B1,8,00DC0000191900C7
9357,501,8,057006B002A402A2
9373,490,3,90FE7F
9421,200,1,1A
9452,123,2,ABCD
9469,501,8,05BA06B102C402F8
9484,6B1,8,00DC0000191900C7
9564,490,3,90FE7F
9580,6B1,8,00DC0000191900C7
9596,501,8,059F066402A50296
9644,123,2,ABCD
9660,600,1,01
9677,200,1,0A
9692,6B1,8,00DC0001191900C8
9708,501,8,0571066A02A302AB
9772,490,3,90FE7F
9788,6B1,8,00DC0002191900C9
9835,501,8,0510069502A402A2
9852,123,2,ABCD
9868,490,3,90FE7F
9900,6B1,8,00DC0003191900CA
9916,200,1,1A
9947,501,8,0A7D0AC902A102A0
9964,490,3,901F36
9995,6B1,8,00DC0004191900CB
10043,123,2,ABCD
10076,490,3,901F36
10108,6B1,8,00DC0005191900CC
10155,600,1,01
10172,200,1,0A
10188,501,8,0E790EB4078B0872
10203,6B1,8,00DC0006191900CD
10251,123,2,ABCD
10267,490,3,900000
10315,6B1,8,00DC0007191900CE
10363,490,3,900000
10411,6B1,8,00DC0008191900CF
10427,200,1,4A
10444,123,2,ABCD
10475,490,3,900000
10523,6B1,8,00DC0009191900D0
10555,501,8,0E5D0ED00BB30D0A
10571,490,3,900000
10619,6B1,8,00DC000A191900D1
10652,123,2,ABCD
10681,600,1,01
10729,6B1,8,00DC000A191900D1
10776,490,3,900000
10792,501,8,0E5B0EE60B8B0D02
10824,6B1,8,00DC0009191900D0
10856,123,2,ABCD
10872,490,3,900000
10920,501,8,0E520ED40BA00D42
10935,6B1,8,00DC0009191900D0
10968,490,3,900000
11031,501,8,0E4B0ED00BAD0D62
11047,6B1,8,00DC0009191900D0
11064,490,3,900000
11143,6B1,8,00DC0009191900D0
11160,501,8,0E500ECC0C110DDE
11176,200,1,4A
11255,6B1,8,00DC0009191900D0
11272,490,3,900000
11351,6B1,8,00DC0009191900D0
11367,490,3,900000
11399,501,8,0E500ECC0C140DCA
11415,200,1,4A
11447,123,2,ABCD
11463,6B1,8,00DC0009191900D0
11511,501,8,0E750ED009600B58
11559,6B1,8,00DC0009191900D0
11575,490,3,900000
11638,501,8,0E5F0EBF08FE0AE6
11655,123,2,ABCD
11679,001,0,1
11758,501,8,0E7A0EC407CE09C3
11774,6B1,8,00DC0008191900CF
11855,123,2,ABCD
11883,490,3,900000
11914,200,1,4A
11962,490,3,900000
11978,6B1,8,00DC0008191900CF
11995,501,8,0E730EAC042B0530
12059,123,2,ABCD
12074,490,3,900000
12106,501,8,0E320E6502D30317
12170,600,1,01
12186,6B1,8,00DC0008191900CF
12234,501,8,0DF40E30029F02AC
12251,123,2,ABCD
12266,490,3,900000
12282,6B1,8,00DC0008191900CF
12346,501,8,0E030E3002A502A2
12378,390,0,00
12394,6B1,8,00DC0008191900CF
12426,200,1,0A
12458,123,2,ABCD
12474,490,3,900000
12490,6B1,8,00DC0008191900CF
12569,490,3,900000
12602,50C,F,C50CF
12650,123,2,ABCD
12666,600,1,01
12698,6B1,8,00DC0008191900CF
12714,501,8,0CE80D30029F02A3
12762,490,3,901C06
12810,6B1,8,00DC0008191900CF
12841,501,8,0C320C9402A102A0
12859,123,2,ABCD
12873,490,3,904313
12906,6B1,8,00DC0008191900CF
12925,200,1,0A
12968,501,8,0BF40C55029402AA
12969,490,3,902018
13019,6B1,8,00DC0008191900CF
13050,123,2,ABCD
13066,490,3,902018
13090,501,8,0C360C80029E02A1
13114,6B1,8,00DC0008191900CF
13161,600,1,01
13177,601,4,00000000
13193,501,8,0C750CBE02A702AB
13224,6B1,8,00DC0007191900CE
13257,123,2,ABCD
13274,490,3,90050F
13321,501,8,0C610CAC02A002A3
13369,490,3,907F10
13417,200,1,0A
13432,6B1,8,00DC0007191900CE
13449,123,2,ABCD
13465,490,3,90C51A
13528,6B1,8,00DC0007191900CE
13561,501,8,0B860BF002A602A8
13577,620,,t6
13640,6B1,8,00DC0007191900CE
13657,123,2,ABCD
13683,200,1,0A
13746,6B1,8,00DC0006191900CD
13762,490,3,90E725
13794,501,8,0B4C0BB0029D02A2
13842,6B1,8,00DC0006191900CD
13858,123,2,ABCD
13874,490,3,901525
13922,501,8,0B700BBC02A902AA
13954,6B1,8,00DC0006191900CD
13970,490,3,903623
14035,501,8,0B690BBF02A102A2
14050,123,2,ABCD
14066,490,3,905E23
14177,501,8,0B5F0BC002A7029F
14256,123,2,ABCD
14273,490,3,90B923
14368,6B1,8,00DC0005191900CC
14401,501,8,0B610BC402A502A3
14416,200,1,0A
14449,123,2,ABCD
14464,490,3,907D23
14512,501,8,0B5F0BC4029B02A6
14561,490,3,909123
14576,6B1,8,00DC0005191900CC
14641,501,8,0B6C0BC502A502A0
14657,123,2,ABCD
14687,200,1,0A
14751,501,8,0B710BCC02A002A0
14768,490,3,908E22
14783,6B1,8,00DC0005191900CC
14864,123,2,ABCD
14879,501,8,0B6B0BCC029B02A7
14895,6B1,8,00DC0005191900CC
14911,200,1,0A
14976,490,3,90CA22
14991,6B1,8,00DC0005191900CC
15055,123,2,ABCD
15072,490,3,903723
15088,6B1,8,00DC0005191900CC
15119,501,8,0B860BF402A002A0
15167,600,1,01
15199,6B1,8,00DC0005191900CC
15231,501,8,0BFE0C4C02A202A4
15263,123,2,ABCD
15296,6B1,8,00DC0005191900CC
15359,501,8,0C360C9002A402A8
15375,490,3,904313
15407,6B1,8,00DC0004191900CB
15423,200,1,0A
15454,123,2,ABCD
15471,490,3,904313
15519,6B1,8,00DC0005191900CC
15566,490,3,90E213
15599,501,8,0C100C8402A302A3
15614,6B1,8,00DC0005191900CC
15676,123,2,ABCD
15724,501,8,0BB60C1C029A02A2
15772,490,3,90C21C
15820,6B1,8,00DC0005191900CC
15836,501,8,0BB00C1802A3029E
15851,123,2,ABCD
15868,490,3,90251D
15916,200,1,0A
15932,6B1,8,00DC0005191900CC
15964,501,8,0BC00C2802A502A4
16028,6B1,8,00DC0004191900CB
16059,123,2,ABCD
16076,210,3,90E71B
16150,6B1,8,00DC0004191900CB
16155,600,1,01
16171,200,1,0A
16203,501,8,0BDF0C43029C02A5
16236,6B1,8,00DC0004191900CB
16251,123,2,ABCD
16267,490,3,90A519
16315,501,8,0BF00C3B02AB02AA
16348,6B1,8,00DC0004191900CB
16363,490,3,904A19
16411,200,1,0A
16443,501,8,0C000C6002A8029C
16458,123,2,ABCD
16475,490,3,903B17
16556,6B1,8,00DC0004191900CB
16571,490,3,90B016
16651,6B1,8,00DC0004191900CB
16667,600,1,01
16683,501,8,0C1A0C7402A702A6
16764,6B1,8,00DC0005191900CC
16795,501,8,0C540C9C02A202A2
16874,123,2,ABCD
16922,200,1,0A
16970,490,3,907510
17034,501,8,0C510CB002A002A2
17053,123,2,ABCD
17067,490,3,90F710
17176,501,8,0C790CB0029B02A9
17255,123,2,ABCD
17271,490,3,90670F
17288,6B1,8,00DC0005191900CC
17367,490,3,90EA0F
17383,6B1,8,00DC0006191900CD
17399,501,8,0C5F0CBE02AC02A3
17415,200,1,0A
17463,123,2,ABCD
17495,6B1,8,00DC0005191900CC
17511,501,8,0C710CC702A3029F
17558,490,3,90D30E
17575,601,4,00000000
17591,6B1,8,00DC0005191900CC
17640,501,8,0C7F0CD002A302A4
17654,123,2,ABCD
17671,200,1,0A
17702,6B1,8,00DC0005191900CC
17766,501,8,0C700CD402A1029E
17798,6B1,8,00DC0006191900CD
17862,123,2,ABCD
17879,501,8,0C710CCC02A502A8
17910,6B1,8,00DC0006191900CD
17974,490,3,90A20E
17991,501,8,0C740CCC02A002A2
18007,6B1,8,00DC0006191900CD
18055,123,2,ABCD
18070,490,3,90840E
18118,6B1,8,00DC0006191900CD
18166,600,1,01
18216,6B1,8,00DC0005191900CC
18246,501,8,0C740CC702A502A6
18263,123,2,ABCD
18326,6B1,8,00DC0005191900CC
18359,501,8,0C6B0CC602A602AB
18423,200,1,0A
18454,123,2,ABCD
18471,490,3,90190F
18486,501,8,0C700CC402A902A3
18535,6B1,8,00DC0005191900CC
18566,490,3,90FB0E
18598,501,8,0C720CC5029E02AE
18631,6B1,8,00DC0005191900CC
18673,123,2,ABCD
18723,501,8,0C690CC402B102A4
18739,6B1,8,00DC0005191900CC
18771,490,3,90410F
18833,501,8,0C660CC7029C029D
18866,123,2,ABCD
18914,200,1,0A
18946,6B1,8,00DC0005191900CC
18962,501,8,0C700CC402B702A1
19041,6B1,8,00DC0005191900CC
19059,123,2,ABCD
19074,601,4,00000000
19153,6B1,8,00DC0005191900CC
19170,200,1,0A
19201,501,8,0C820CC402A102A4
19249,6B1,8,00DC0005191900CC
19266,123,2,ABCD
19314,501,8,0C780CBF02AE029A
19362,6B1,8,00DC0005191900CC
19409,200,1,0A
19441,501,8,0C830CBC029D02A2
19457,123,2,ABCD
19474,490,3,908C0E
19553,501,8,0C7E0CC4029D029B
19569,490,3,906F0E
19675,600,1,01
19772,490,3,90EA0C
19802,501,8,0D9F0DF402A702A8
19867,123,2,ABCD
19883,6B1,8,00DC0005191900CC
19914,200,1,0A
19962,490,3,900000
19979,6B1,8,00DC0005191900CC
20043,501,8,0D9F0E0402A702A2
20060,123,2,ABCD
20092,6B1,8,00DC0005191900CC
20154,600,1,01
20170,200,1,0A
20187,6B1,8,00DC0005191900CC
20266,123,2,ABCD
20282,501,8,0CE00D44029902A3
20298,6B1,8,00DC0005191900CC
20362,490,3,90A505
20395,6B1,8,00DC0006191900CD
20410,200,1,0A
20458,123,2,ABCD
20508,6B1,8,00DC0007191900CE
20522,501,8,0C700CDC02A0029A
20570,490,3,900D0E
20602,6B1,8,00DC0008191900CF
20634,501,8,0C900CEC02A40296
20674,600,1,01
20706,6B1,8,00DC0006191900CD
20754,501,8,0CE20D3602A002A2
20770,490,3,901C06
20818,6B1,8,00DC0006191900CD
20866,123,2,ABCD
20883,501,8,0CE30D3C02A302AA
20914,200,1,0A
20961,490,3,90D605
20993,501,8,0CC90D3802A302A8
21026,6B1,8,00DC0007191900CE
21057,123,2,ABCD
21122,501,8,0CCB0D38029B029F
21153,600,1,01
21171,200,1,0A
21234,6B1,8,00DC0006191900CD
21265,123,2,ABCD
21329,6B1,8,00DC0006191900CD
21361,501,8,0CD00D3C02A402A4
21409,200,1,0A
21442,6B1,8,00DC0006191900CD
21457,123,2,ABCD
21474,014,0,00
21489,501,8,0CB00D2002A702A4
21537,6B1,8,00DC0006191900CD
21569,490,3,90EA08
21600,501,8,0CC50D38029A0299
21648,6B1,8,00DC0006191900CD
21672,600,1,01
21721,501,8,0DC90E1C02AA02AA
21753,6B1,8,00DC0006191900CD
21769,490,3,900000
21849,501,8,0E1A0E54029D02A0
21866,123,2,ABCD
21913,200,1,0A
21972,6B1,8,00DC0006191900CD
22073,123,2,ABCD
22089,501,8,0E160E5502A2029A
22153,600,1,01
22176,200,1,0A
22208,501,8,0E200E6002A502A6
22256,123,2,ABCD
22272,490,3,900000
22320,501,8,0E380E5C02A6029D
22368,490,3,900000
22416,200,1,0A
22448,501,8,0E190E5702A202AA
22463,123,2,ABCD
22480,6B1,8,00DC0008191900CF
22560,501,8,0E180E5C029F02A2
22592,6B1,8,00DC0008191900CF
22656,600,1,01
22671,200,1,0A
22688,501,8,0DFC0E6402A1029D
22767,490,3,900000
22800,6B1,8,00DC0007191900CE
22863,123,2,ABCD
22897,6B1,8,00DC0007191900CE
22912,200,1,0A
22927,501,8,0E080E6602A402B1
22960,490,3,900000
23008,6B1,8,00DC0007191900CE
23039,501,8,0E200E6402A002A2
23056,123,2,ABCD
23071,490,3,900000
23104,6B1,8,00DC0007191900CE
23151,600,1,01
23173,501,8,0E100E6402A902AA
23206,6B1,8,00DC0007191900CE
23269,123,2,ABCD
23285,501,8,0E240E6002AB029F
23316,6B1,8,00DC0007191900CE
23364,490,3,900000
23397,501,8,0E0B0E6002A5029E
23412,200,1,0A
23461,123,2,ABCD
23525,6B1,8,00DC0007191900CE
23557,490,3,900000
23620,6B1,8,00DC0007191900CE
23636,501,8,0E100E5C02A5029E
23653,600,1,01
23669,123,2,ABCD
23732,6B1,8,00DC0007191900CE
23765,501,8,0E0B0E6402A302A5
23828,6B1,8,00DC0007191900CE
23861,123,2,ABCD
23876,501,8,0E100E5C02AB02A8
23909,200,1,0A
23941,6B1,8,00DC0007191900CE
23956,490,3,900000
24004,501,8,0E100E6402A002B0
24036,6B1,8,00DC0007191900CE
24069,123,2,ABCD
24117,501,8,0E1C0E6002A702A0
24148,6B1,8,00DC0007191900CE
24164,600,1,01
24245,501,8,0E180E5C02A202A3
24260,123,2,ABCD
24356,6B1,8,00DC0007191900CE
24372,601,4,00000000
24420,200,1,0A
24452,6B1,8,00DC0007191900CE
24468,490,3,900000
24483,501,8,0E190E60029802A4
24565,6B1,8,00DC0007191900CE
24612,501,8,0E1F0E5C029E02A0
24672,600,1,01
24720,501,8,0E180E5C02A202A2
24768,490,3,900000
24847,501,8,0E1B0E5C02A302A3
24864,490,3,900000
24880,6B1,8,00DC0007191900CE
24912,200,1,0A
24959,490,3,900000
24976,6B1,8,00DC0007191900CE
25071,490,3,900000
25088,6B1,8,00DC0007191900CE
25151,600,1,01
