4-30-2018-7:20:45109,501,8,0E8A0E9402B502D3
104732,490,3,900000
104763,501,8,0E9F0E9402A202A8
104795,6B1,8,00DC000C191900D3
104827,200,1,48
104859,123,2,ABCD
104875,501,8,0EA40E94029F02A3
104907,6B1,8,00DC000C191900D3
104923,490,3,900000
105002,501,8,0EA00E97029F02A2
105035,490,3,900000
105050,600,1,01
105067,123,2,ABCD
105083,200,1,48
105115,6B1,8,00DC000C191900D3
105131,490,3,900000
105210,6B1,8,00DC000C191900D3
105227,490,3,900000
105242,501,8,0EA20E9402AE029E
105258,123,2,ABCD
105336,6B1,8,00DC000C191900D3
105368,80E,B,180EB
105417,6B1,8,00DC000C191900D3
105432,490,3,900000
105465,123,2,ABCD
105480,501,8,0EA60E9002A102A6
105528,490,3,900000
105544,600,1,01
105576,200,1,48
105608,501,8,0E9C0E9402A002A0
105624,490,3,900000
105640,6B1,8,00DC000C191900D3
105656,123,2,ABCD
105721,501,8,0EA50E9002A202A2
105736,6B1,8,00DC000C191900D3
105832,200,1,48
105848,501,8,0EA10E94029F02A8
105864,123,2,ABCD
105927,490,3,900000
105944,6B1,8,00DC000C191900D3
105960,501,8,0E960E9502A102A4
106023,490,3,900000
106039,600,1,01
106056,6B1,8,00DC000C191900D3
106071,200,1,48
106087,501,8,0EA40E9402A402A0
106119,490,3,900000
106152,6B1,8,00DC000C191900D3
106200,501,8,0EA80E9402A8029E
106231,490,3,900000
106264,6B1,8,00DC000C191900D3
106311,501,8,0EA40E95029C02A2
106327,200,1,48
106359,6B1,8,00DC000C191900D3
106422,490,3,900000
106439,501,8,0EA40E9002A102A8
106455,123,2,ABCD
106471,6B1,8,00DC000C191900D3
106519,490,3,900000
106551,600,1,01
106567,6B1,8,00DC000C191900D3
106630,490,3,900000
106663,123,2,ABCD
106678,6B1,8,00DC000C191900D3
106726,490,3,900000
106775,6B1,8,00DC000C191900D3
106790,501,8,0E9F0E94029F02A4
106823,200,1,48
106855,123,2,ABCD
106886,6B1,8,00DC000C191900D3
106919,501,8,0EA00E9402A0029E
106982,6B1,8,00DC000C191900D3
107031,490,3,900000
107047,600,1,01
107062,123,2,ABCD
107079,200,1,48
107094,6B1,8,00DC000C191900D3
107127,490,3,900000
107158,501,8,0EA40E9402A202AE
107190,6B1,8,00DC000C191900D3
107222,490,3,900000
107254,123,2,ABCD
107270,501,8,0EA80E8C02A802A7
107302,6B1,8,00DC000C191900D3
107318,200,1,48
107397,501,8,0EA60E8402A0029E
107430,490,3,900000
107462,123,2,ABCD
107510,6B1,8,00DC000C191900D3
107526,490,3,900000
107542,600,1,01
107574,200,1,48
107605,6B1,8,00DC000C191900D3
107622,490,3,900000
107638,501,8,0EA60E9402A502B6
107653,123,2,ABCD
107718,6B1,8,00DC000C191900D3
107749,501,8,0EA20E9402A402A2
107813,6B1,8,00DC000C191900D3
107830,601,4,00010000
107861,123,2,ABCD
107878,501,8,0EA90E94029F029E
107925,6B1,8,00DC000C191900D3
107990,501,8,0EA60EAC02A702A6
108021,490,3,900000
108053,600,1,01
108069,200,1,48
108117,501,8,0EA40E9402A102A0
108133,6B1,8,00DC000C191900D3
108213,490,3,900000
108229,6B1,8,00DC000C191900D3
108260,123,2,ABCD
108325,200,1,48
108341,6B1,8,00DC000C191900D3
108356,501,8,0EA40E94029E02A4
108420,490,3,900000
108437,6B1,8,00DC000C191900D3
108452,123,2,ABCD
108468,501,8,0EA90E9402A002A2
108516,490,3,900000
108549,6B1,8,00DC000C191900D3
108564,200,1,48
108597,501,8,0E9F0E9C02A4029A
108612,490,3,900000
108645,6B1,8,00DC000C191900D3
108660,123,2,ABCD
108708,501,8,0EB50E9602A40298
108724,490,3,900000
108757,6B1,8,00DC000C191900D3
108820,200,1,48
108836,501,8,0EA60E95029A029E
108853,123,2,ABCD
108917,490,3,900000
108948,501,8,0EA10E9502A502A0
108963,6B1,8,00DC000C191900D3
109013,490,3,900000
109044,600,1,01
109060,123,2,ABCD
109076,501,8,0EA80E9402A4029C
109123,490,3,900000
109171,6B1,8,00DC000C191900D3
109188,501,8,0EA80E94029A02A0
109220,490,3,900000
109252,123,2,ABCD
109268,6B1,8,00DC000C191900D3
109326,501,8,0E940E94029E02A2
109374,6B1,8,00DC000C191900D3
109422,490,3,900000
109438,501,8,0EA30E9502A102A2
109455,123,2,ABCD
109486,6B1,8,00DC000C191900D3
109519,490,3,900000
109551,600,1,01
109567,200,1,48
109582,6B1,8,00DC000C191900D3
109615,490,3,900000
109646,123,2,ABCD
109678,501,8,0EA50EA002A5029E
109694,6B1,8,00DC000C191900D3
109711,490,3,900000
109790,501,8,0EA10E970294029B
109823,200,1,48
109854,123,2,ABCD
109902,6B1,8,00DC000C191900D3
109918,501,8,0EA00E9402A1029C
109998,6B1,8,00DC000C191900D3
110014,490,3,900000
110031,501,8,0EB00E9502A202A0
110046,600,1,01
110062,200,1,48
110110,6B1,8,00DC000C191900D3
110158,501,8,0EA30E94029A02A7
110206,6B1,8,00DC000C191900D3
110222,490,3,900000
110254,123,2,ABCD
110270,501,8,0EA00E94029D02AC
110325,6B1,8,00DC000C191900D3
110390,501,8,0EA00E9502A102AE
110421,490,3,900000
110454,123,2,ABCD
110502,501,8,0E880E9402A6029F
110517,490,3,900000
110550,600,1,01
110565,200,1,48
110614,490,3,900000
110629,6B1,8,00DC000C191900D3
110645,123,2,ABCD
110710,490,3,900000
110725,6B1,8,00DC000C191900D3
110741,501,8,0E9F0E9402A002A2
110821,200,1,48
110837,6B1,8,00DC000C191900D3
110853,123,2,ABCD
110868,501,8,0E9F0E9402A302A1
110916,490,3,900000
110933,6B1,8,00DC000C191900D3
110981,501,8,0EA80E9C02AA02A2
111012,490,3,900000
111045,6B1,8,00DC000C191900D3
111061,200,1,48
111109,501,8,0EA00E9402A402A8
111141,6B1,8,00DC000C191900D3
111220,490,3,900000
111253,123,2,ABCD
111316,200,1,48
111349,501,8,0EA00E9C029C029E
111413,490,3,900000
111444,123,2,ABCD
111461,6B1,8,00DC000C191900D3
111509,490,3,900000
111540,600,1,01
111556,6B1,8,00DC000C191900D3
111588,501,8,0EA00E94029D02A4
111619,490,3,900000
111652,123,2,ABCD
111667,6B1,8,00DC000C191900D3
111700,501,8,0EA00E95029D029E
111716,490,3,900000
111764,6B1,8,00DC000C191900D3
111812,200,1,48
111827,501,8,0EA20E9C029C02A2
111844,123,2,ABCD
111875,6B1,8,00DC000C191900D3
111908,490,3,900000
111941,501,8,0EA40E9C02A002A7
111972,6B1,8,00DC000C191900D3
112020,490,3,900000
112035,600,1,01
112051,123,2,ABCD
112068,200,1,48
112083,6B1,8,00DC000C191900D3
112116,490,3,900000
112179,6B1,8,00DC000C191900D3
112212,490,3,900000
112243,123,2,ABCD
112291,6B1,8,00DC000C191900D3
112320,501,8,0E700E94029B02A4
112400,00D,C,800DC
112416,490,3,900000
112432,501,8,0EA20E8F02A202A3
112448,123,2,ABCD
112496,6B1,8,00DC000C191900D3
112511,490,3,900000
112544,600,1,01
112560,200,1,48
112608,6B1,8,00DC000C191900D3
112640,123,2,ABCD
112656,501,8,0EA80E9C02A402A4
112704,6B1,8,00DC000C191900D3
112783,501,8,0EA00E9C02A202AD
112820,6B1,8,00DC000C191900D3
112835,123,2,ABCD
112900,501,8,0EA50E90029E029E
112916,490,3,900000
113012,490,3,900000
113028,501,8,0E9B0EAC029A02B1
113043,600,1,01
113059,200,1,48
113107,490,3,900000
113124,6B1,8,00DC000C191900D3
113139,501,8,0E990E9402A002A4
113203,490,3,900000
113220,6B1,8,00DC000C191900D3
113236,123,2,ABCD
113267,501,8,0EAB0E95029D0296
113315,200,1,48
113332,6B1,8,00DC000C191900D3
113379,501,8,0EA00E9502A402A0
113411,490,3,900000
113427,6B1,8,00DC000C191900D3
113444,123,2,ABCD
113507,501,8,0E9F0E9402A202A0
113540,6B1,8,00DC000C191900D3
113555,200,1,48
113603,490,3,900000
113619,501,8,0EA40E9402A102A2
113635,6B1,8,00DC000C191900D3
113715,490,3,900000
113747,501,8,0E700E94029F02A0
113810,200,1,48
113843,123,2,ABCD
113858,501,8,0E9A0E94029E0296
113907,490,3,900000
113955,6B1,8,00DC000C191900D3
113987,501,8,0EA40E9402A802A5
114003,490,3,900000
114035,123,2,ABCD
114051,6B1,8,00DC000C191900D3
114099,501,8,0E9B0E9402A602A5
114114,490,3,900000
114162,6B1,8,00DC000C191900D3
114211,490,3,900000
114226,501,8,0EA00E9402A202A0
114242,123,2,ABCD
114259,6B1,8,00DC000C191900D3
114307,200,1,48
114338,501,8,0E9C0E94029E029E
114370,6B1,8,00DC000C191900D3
114402,490,3,900000
114434,123,2,ABCD
114467,501,8,0EA00E9402AC029E
114498,490,3,900000
114515,400,0,10
114546,600,1,01
114562,200,1,48
114578,6B1,8,00DC000C191900D3
114610,490,3,900000
114642,123,2,ABCD
114673,6B1,8,00DC000C191900D3
114706,501,8,0EA50E9702A302A6
114786,6B1,8,00DC000C191900D3
114802,200,1,48
114818,501,8,0EA10E9C02A102A8
114833,123,2,ABCD
114881,6B1,8,00DC000C191900D3
114898,490,3,900000
114945,501,8,0E940E95029C029B
114993,6B1,8,00DC000C191900D3
115010,490,3,900000
115041,123,2,ABCD
115058,200,1,48
115089,6B1,8,00DC000C191900D3
115105,490,3,900000
115186,501,8,0E9C0E9502A002A8
115201,6B1,8,00DC000C191900D3
115234,123,2,ABCD
115313,501,8,0E9F0E95029902A0
115409,490,3,900000
115425,501,8,0EB80E9602A402A1
115442,123,2,ABCD
115505,490,3,900000
115538,501,8,0EA50E9C02A102A0
115553,200,1,48
115601,490,3,900000
115617,6B1,8,00DC000C191900D3
115633,123,2,ABCD
115665,501,8,0EA50E9402A1029E
115696,490,3,900000
115713,6B1,8,00DC000C191900D3
115777,501,8,0E9C0E94029702A0
115809,200,1,48
115825,6B1,8,00DC000C191900D3
115840,123,2,ABCD
115904,501,8,0EA20E97029F02A1
115921,6B1,8,00DC000C191900D3
116000,490,3,900000
116016,501,8,0EB00E9502A102A2
116033,6B1,8,00DC000C191900D3
116048,200,1,48
116097,490,3,900000
116128,501,8,0EA30E9402A802A9
116208,490,3,900000
116241,123,2,ABCD
116256,501,8,0EA50E9402A102A4
116304,200,1,48
116336,6B1,8,00DC000C191900D3
116368,501,8,0EA00E9402A202A0
116401,490,3,900000
116432,123,2,ABCD
116448,6B1,8,00DC000C191900D3
116496,501,8,0EA00E9402A002A0
116544,600,1,01
116607,490,3,900000
116640,123,2,ABCD
116656,6B1,8,00DC000C191900D3
116705,490,3,900000
116736,501,8,0E9E0E94029F02A8
116767,6B1,8,00DC000C191900D3
116800,200,1,48
116831,123,2,ABCD
116848,501,8,0E9B0E94029D029F
116863,6B1,8,00DC000C191900D3
116896,490,3,900000
116975,6B1,8,00DC000C191900D3
117007,490,3,900000
117039,123,2,ABCD
117056,200,1,48
117071,6B1,8,00DC000C191900D3
117087,501,8,0EA20E94029F02A3
117104,490,3,900000
117183,6B1,8,00DC000C191900D3
117199,490,3,900000
117214,501,8,0E9D0E9702A702A3
117231,123,2,ABCD
117279,6B1,8,00DC000C191900D3
117295,200,1,48
117327,501,8,0E9E0E9C029F02A5
117391,6B1,8,00DC000C191900D3
117407,490,3,900000
117439,123,2,ABCD
117455,501,8,0EA90E97029B02A4
117487,6B1,8,00DC000C191900D3
117503,490,3,900000
117535,600,1,01
117551,200,1,48
117566,501,8,0EA00E9402A402A8
117599,6B1,8,00DC000C191900D3
117630,123,2,ABCD
117708,501,8,0EA10E9502A4029B
117808,200,1,48
117824,123,2,ABCD
117904,490,3,900000
117936,501,8,0EA30E9602A002A5
118000,490,3,900000
118016,6B1,8,00DC000C191900D3
118032,123,2,ABCD
118049,200,1,48
118096,490,3,900000
118112,6B1,8,00DC000C191900D3
118176,501,8,0E9E0E9402A1029A
118192,490,3,900000
118224,6B1,8,00DC000C191900D3
118288,501,8,0EA10E94029F029E
118303,200,1,48
118319,6B1,8,00DC000C191900D3
118400,490,3,900000
118415,501,8,0E9F0E93029D029E
118432,6B1,8,00DC000C191900D3
118496,490,3,900000
118527,6B1,8,00DC000C191900D3
118544,600,1,01
118592,490,3,900000
118623,123,2,ABCD
118640,6B1,8,00DC000C191900D3
118656,501,8,0EA50E9402A202A7
118704,490,3,900000
118735,6B1,8,00DC000C191900D3
118767,501,8,0EA00E94029D02A6
118799,200,1,48
118831,123,2,ABCD
118847,6B1,8,00DC000C191900D3
118895,501,8,0E9D0E9602A402A2
118943,6B1,8,00DC000C191900D3
118991,490,3,900000
119007,501,8,0E9F0E9C02A102A0
119024,123,2,ABCD
119039,600,1,01
119055,6B1,8,00DC000C191900D3
119103,490,3,900000
119135,501,8,0E9E0E8C02A1029E
119151,6B1,8,00DC000C191900D3
119199,490,3,900000
119230,123,2,ABCD
119247,501,8,0EAA0E9002A302AA
119263,6B1,8,00DC000C191900D3
119295,200,1,48
119359,6B1,8,00DC000C191900D3
119375,501,8,0EA10E96029C02A0
119390,490,3,900000
119423,123,2,ABCD
119471,6B1,8,00DC000C191900D3
119486,501,8,0EA00E9402A302A5
119502,490,3,900000
119535,600,1,01
119550,200,1,48
119567,6B1,8,00DC000C191900D3
119598,490,3,900000
119615,501,8,0E9F0E94029F02A8
119631,123,2,ABCD
119679,6B1,8,00DC000C191900D3
119694,490,3,900000
119727,501,8,0E990E96029E02A6
119775,6B1,8,00DC000C191900D3
119791,200,1,48
119822,123,2,ABCD
119854,501,8,0E9C0E94029E02A0
119887,6B1,8,00DC000C191900D3
119966,501,8,0EA40E9C02A002A6
119982,6B1,8,00DC000C191900D3
119998,490,3,900000
120030,123,2,ABCD
120047,200,1,48
120100,501,8,0EA40E9502A4029C
120195,490,3,900000
120212,501,8,0EA40EA002A4029E
120228,123,2,ABCD
120305,200,1,48
120320,501,8,0EA00E9702A0029E
120384,490,3,900000
120401,6B1,8,00DC000C191900D3
120432,123,2,ABCD
120449,501,8,0EA00E9C02A302A5
120497,490,3,900000
120544,600,1,01
120561,501,8,0E9F0E9602A00296
120592,490,3,900000
120609,6B1,8,00DC000C191900D3
120624,123,2,ABCD
120688,501,8,0EA80E9602A402A6
120704,6B1,8,00DC000C191900D3
120784,200,1,48
120800,501,8,0EA40E95029C029C
120817,6B1,8,00DC000C191900D3
120833,123,2,ABCD
120896,490,3,900000
120912,6B1,8,00DC000C191900D3
120929,501,8,0EA50E9602A302A2
120992,490,3,900000
121024,6B1,8,00DC000C191900D3
121041,600,1,01
121089,490,3,900000
121137,B18,0,0D
121168,501,8,0EA00E95029E02A8
121184,490,3,900000
121216,123,2,ABCD
121232,6B1,8,00DC000C191900D3
121280,501,8,0EA50E9502A1029E
121297,200,1,48
121344,6B1,8,00DC000C191900D3
121392,490,3,900000
121408,501,8,0EA50E9502A4029F
121424,123,2,ABCD
121440,6B1,8,00DC000C191900D3
121488,490,3,900000
121520,501,8,0EA80E94029F02A4
121536,600,1,01
121552,6B1,8,00DC000C191900D3
121584,490,3,900000
121615,123,2,ABCD
121648,501,8,0EA10E9602A102A6
121696,490,3,900000
121759,6B1,8,00DC000C191900D3
121792,200,1,48
121823,123,2,ABCD
121856,6B1,8,00DC000C191900D3
121887,501,8,0E9F0E94029C02A2
121967,6B1,8,00DC000C191900D3
121983,490,3,900000
122000,501,8,0EA50E9402A3029E
122015,123,2,ABCD
122031,600,1,01
122064,6B1,8,00DC000C191900D3
122079,490,3,900000
122095,601,4,00010000
122127,501,8,0EA80E940299029E
122175,6B1,8,00DC000C191900D3
122191,490,3,900000
122223,123,2,ABCD
122239,501,8,0EA10E9402A802A3
122270,6B1,8,00DC000C191900D3
122287,200,1,48
122366,501,8,0E9D0E95029C029E
122383,6B1,8,00DC000C191900D3
122415,123,2,ABCD
122495,6B1,8,00DC000C191900D3
122543,200,1,48
122590,6B1,8,00DC000C191900D3
122607,501,8,0E9F0E9402A402A4
122622,123,2,ABCD
122686,490,3,900000
122718,501,8,0EA00E94029502A2
122782,200,1,48
122798,6B1,8,00DC000C191900D3
122815,123,2,ABCD
122846,501,8,0EB00E90029802AE
122878,490,3,900000
122894,6B1,8,00DC000C191900D3
122958,501,8,0EA00E9502A302A0
122990,490,3,900000
123006,6B1,8,00DC000C191900D3
123021,123,2,ABCD
123038,200,1,48
123086,501,8,0E9E0E8C02A8029E
123102,6B1,8,00DC000C191900D3
123182,490,3,900000
123198,501,8,0E9C0E96029F029E
123214,6B1,8,00DC000C191900D3
123277,200,1,48
123310,6B1,8,00DC000C191900D3
123326,501,8,0E9F0E94029C02A2
123389,490,3,900000
123422,6B1,8,00DC000C191900D3
123437,501,8,0EA30E9C02A502A3
123485,490,3,900000
123518,6B1,8,00DC000C191900D3
123534,200,1,48
123566,501,8,0EA40E9402A302A4
123582,490,3,900000
123613,123,2,ABCD
123630,6B1,8,00DC000C191900D3
123678,501,8,0EA00E94029A029E
123726,6B1,8,00DC000C191900D3
123805,200,1,48
123821,123,2,ABCD
123838,6B1,8,00DC000C191900D3
123886,490,3,900000
123919,501,8,0EA10E94029502A8
123933,6B1,8,00DC000C191900D3
123981,490,3,900000
124013,123,2,ABCD
124029,200,1,48
124046,820,E,E820E
124077,490,3,900000
124141,6B1,8,00DC000C191900D3
124157,501,8,0E9E0E9702A202A3
124189,490,3,900000
124221,123,2,ABCD
124253,6B1,8,00DC000C191900D3
124291,501,8,0E9F0E97029F02AB
124354,6B1,8,00DC000C191900D3
124387,490,3,900000
124402,501,8,0E9F0EA00299029D
124419,123,2,ABCD
124451,6B1,8,00DC000C191900D3
124483,490,3,900000
124514,501,8,0EA20E9702A1029B
124531,200,1,48
124562,6B1,8,00DC000C191900D3
124579,490,3,900000
124610,123,2,ABCD
124643,501,8,0EA00E9402A002A3
124658,6B1,8,00DC000C191900D3
124674,490,3,900000
124755,501,8,0E9F0E9502AE02AA
124770,6B1,8,00DC000C191900D3
124786,200,1,48
124818,123,2,ABCD
124866,6B1,8,00DC000C191900D3
124882,501,8,0EA00E960298029B
124978,6B1,8,00DC000C191900D3
124994,501,8,0E980E9402A002A2
125011,123,2,ABCD
125026,200,1,48
125042,600,1,01
125074,490,3,900000
125122,501,8,0E990E9602A502A2
125186,490,3,900000
125217,123,2,ABCD
125234,501,8,0E950E9402A002A2
125297,200,1,48
125361,501,8,0EB80E9402A002A4
125377,490,3,900000
125393,6B1,8,00DC000C191900D3
125409,123,2,ABCD
125473,501,8,0E9C0E9502A202A2
125505,00D,C,800DC
125521,200,1,48
125536,600,1,01
125584,490,3,900000
125600,501,8,0EA10E9602A4029D
125617,123,2,ABCD
125680,490,3,900000
125713,6B1,8,00DC000C191900D3
125777,200,1,48
125808,6B1,8,00DC000C191900D3
125840,501,8,0E9A0E9502A002A0
125872,490,3,900000
125920,6B1,8,00DC000C191900D3
125952,501,8,0E920E9502A002A4
125983,490,3,900000
126016,123,2,ABCD
126031,200,1,48
126080,501,8,0E920E9502A702A0
126128,6B1,8,00DC000C191900D3
126176,490,3,900000
126191,501,8,0E910E9402A102A2
126208,123,2,ABCD
126224,6B1,8,00DC000C191900D3
126272,200,1,48
126320,501,8,0E900E9302B902A8
126335,6B1,8,00DC000C191900D3
126384,490,3,900000
126415,123,2,ABCD
126432,501,8,0E930E9502A40299
126480,490,3,900000
126528,200,1,48
126543,6B1,8,00DC000C191900D3
126559,501,8,0E950E9402A40292
126575,490,3,900000
126607,123,2,ABCD
126640,6B1,8,00DC000C191900D3
126671,501,8,0E900E9402A802A4
126751,4-30-2018-7:20:45123,6B1,8,00DC000C191900D3
165,490,3,900000
178,501,8,0EA50E9402A0029C
211,6B1,8,00DC000C191900D3
259,490,3,900000
291,501,8,0E9A0E9002AA029E
324,123,2,ABCD
355,200,1,48
371,210,3,900000
419,501,8,0E9C0E9402A50298
434,600,1,01
467,490,3,900000
514,123,2,ABCD
531,6B1,8,00DC000C191900D3
562,490,3,900000
610,200,1,48
627,6B1,8,00DC000C191900D3
658,501,8,0E9D0E94029E02A2
722,123,2,ABCD
739,6B1,8,00DC000C191900D3
755,490,3,900000
770,501,8,0E9B0E90029C0296
835,6B1,8,00DC000C191900D3
867,200,1,48
898,501,8,0E980E9402A102A2
915,123,2,ABCD
931,600,1,01
947,6B1,8,00DC000C191900D3
962,490,3,900000
1010,501,8,0EA00E94029802A2
1042,6B1,8,00DC000C191900D3
1057,490,3,900000
1105,200,1,48
1122,123,2,ABCD
1139,501,8,0E9C0E9402A2029F
1153,6B1,8,00DC000C191900D3
1249,6B1,8,00DC000C191900D3
1265,490,3,900000
1313,123,2,ABCD
1367,6B1,8,00DC000C191900D3
1432,600,1,01
1463,490,3,900000
1495,501,8,0EA00E94029E029B
1511,123,2,ABCD
1559,490,3,900000
1607,200,1,48
1655,490,3,900000
1672,6B1,8,00DC000C191900D3
1720,123,2,ABCD
1739,501,8,0E9A0E9402A302A0
1751,490,3,900000
1767,6B1,8,00DC000C191900D3
1847,501,8,0EA80E9402A20298
1863,200,1,48
1880,6B1,8,00DC000C191900D3
1910,123,2,ABCD
1942,600,1,01
1958,490,3,900000
1976,501,8,0E940E9002A7029F
2055,490,3,900000
2087,6B1,8,00DC000C191900D3
2102,200,1,48
2118,123,2,ABCD
2151,490,3,900000
2184,6B1,8,00DC000C191900D3
2214,501,8,0EAB0E9402A2029E
2262,490,3,900000
2293,6B1,8,00DC000C191900D3
2310,123,2,ABCD
2327,501,8,0E9A0E9402A002A6
2358,200,1,48
2391,6B1,8,00DC000C191900D3
2438,600,1,01
2454,501,8,0E9A0E9C02A0029A
2503,6B1,8,00DC000C191900D3
2518,123,2,ABCD
2549,490,3,900000
2566,501,8,0E9C0E9402A0029E
2597,200,1,48
2662,490,3,900000
2694,501,8,0E9B0E9002A0029A
2709,6B1,8,00DC000C191900D3
2757,490,3,900000
2805,501,8,0E990E9402A20298
2821,6B1,8,00DC000C191900D3
2853,200,1,48
2917,123,2,ABCD
2935,501,8,0E9A0E9402A0029E
2949,490,3,900000
3029,6B1,8,00DC000C191900D3
3045,501,8,0EB00E8C02A2029E
3061,490,3,900000
3109,200,1,48
3125,6B1,8,00DC000C191900D3
3156,490,3,900000
3173,501,8,0E9A0E9402A702A0
3237,6B1,8,00DC000C191900D3
3252,490,3,900000
3286,501,8,0E9D0E9002A2029F
3317,123,2,ABCD
3333,6B1,8,00DC000C191900D3
3349,200,1,48
3413,501,8,0E9C0E9402A4029A
3460,101,,t6
3508,123,2,ABCD
3524,501,8,0E9D0E90029F0294
3541,6B1,8,00DC000C191900D3
3556,490,3,900000
3605,200,1,48
3661,6B1,8,00DC000C191900D3
3709,123,2,ABCD
3756,6B1,8,00DC000C191900D3
3773,501,8,0E900E9402AA029E
3861,200,1,48
3895,501,8,0E9D0E9402A102A3
3909,123,2,ABCD
3942,600,1,01
3957,490,3,900000
4005,501,8,0E9A0E9002A6029E
4054,490,3,900000
4102,200,1,48
4117,123,2,ABCD
4133,501,8,0E9C0E9402A302A3
4150,490,3,900000
4165,6B1,8,00DC000C191900D3
4246,490,3,900000
4277,6B1,8,00DC000C191900D3
4309,123,2,ABCD
4346,200,1,48
4358,490,3,900000
4376,501,8,0E990E9002A6029B
4439,600,1,01
4453,490,3,900000
4485,6B1,8,00DC000C191900D3
4516,123,2,ABCD
4549,490,3,900000
4581,6B1,8,00DC000C191900D3
4597,200,1,48
4613,501,8,0E990EA0029B02A3
4645,490,3,900000
4693,6B1,8,00DC000C191900D3
4709,123,2,ABCD
4728,501,8,0E990E9002A0029C
4758,490,3,900000
4788,6B1,8,00DC000C191900D3
4858,200,1,48
4889,6B1,8,00DC000C191900D3
4906,123,2,ABCD
4937,600,1,01
4954,490,3,900000
4969,501,8,0E9F0E9402970298
5002,6B1,8,00DC000C191900D3
5049,490,3,900000
5097,501,8,0E9F0E9402A40298
5114,123,2,ABCD
5145,490,3,900000
5209,6B1,8,00DC000C191900D3
5240,490,3,900000
5305,123,2,ABCD
5321,501,8,0EA80E92029D029C
5352,200,1,48
5417,6B1,8,00DC000C191900D3
5432,600,1,01
5448,490,3,900000
5512,123,2,ABCD
5544,490,3,900000
5560,501,8,0EA00E9002A002A3
5592,200,1,48
5624,6B1,8,00DC000C191900D3
5639,490,3,900000
5687,501,8,0EA00E9402AA029A
5704,123,2,ABCD
5720,6B1,8,00DC000C191900D3
5752,490,3,900000
5800,501,8,0EA00E9402A4029D
5831,6B1,8,00DC000C191900D3
5848,200,1,48
5917,123,2,ABCD
5928,501,8,0E990E9402A0029E
5944,490,3,900000
6054,6B1,8,00DC000C191900D3
6087,200,1,48
6102,123,2,ABCD
6135,6B1,8,00DC000C191900D3
6150,490,3,900000
6167,501,8,0EA00E9402A1029F
6247,490,3,900000
6279,501,8,0EA00E9402A502A0
6310,123,2,ABCD
6358,200,1,48
6406,501,8,0EA00E9402A0029E
6437,600,1,01
6454,6B1,8,00DC000C191900D3
6506,123,2,ABCD
6533,501,8,0EA00E9402A30298
6549,490,3,900000
6597,200,1,48
6645,490,3,900000
6662,6B1,8,00DC000C191900D3
6710,123,2,ABCD
6741,490,3,900000
6757,6B1,8,00DC000C191900D3
6837,200,1,48
6870,6B1,8,00DC000C191900D3
6885,501,8,0E9A0E94029702AE
6901,123,2,ABCD
6932,600,1,01
6949,490,3,900000
6965,6B1,8,00DC000C191900D3
7013,98,,
7045,490,3,900000
7078,6B1,8,00DC000C191900D3
7092,200,1,48
7109,123,2,ABCD
7125,501,8,0EA00E9402A40296
7140,490,3,900000
7188,C19,1,900D
7236,490,3,900000
7252,501,8,0E980EA002A1029F
7284,6B1,8,00DC000C191900D3
7300,123,2,ABCD
7332,200,1,48
7348,490,3,900000
7366,501,8,0EA00E91029902A6
7396,6B1,8,00DC000C191900D3
7429,600,1,01
7444,490,3,900000
7477,501,8,0EA00E9402A102A6
7492,6B1,8,00DC000C191900D3
7508,123,2,ABCD
7540,490,3,900000
7588,200,1,48
7604,6B1,8,00DC000C191900D3
7635,490,3,900000
7700,6B1,8,00DC000C191900D3
7716,501,8,0E9F0E90029F02A1
7748,490,3,900000
7812,6B1,8,00DC000C191900D3
7851,200,1,48
7900,123,2,ABCD
7915,6B1,8,00DC000C191900D3
7932,600,1,01
7963,501,8,0EA20E94029D02A1
8011,6B1,8,00DC000C191900D3
8044,490,3,900000
8075,501,8,0E950E94029C029F
8092,200,1,48
8107,123,2,ABCD
8123,6B1,8,00DC000C191900D3
8139,490,3,900000
8204,501,8,0EA10E90029F029F
8219,6B1,8,00DC000C191900D3
8235,490,3,900000
8300,123,2,ABCD
8315,501,8,0E950E9402A702A0
8349,6B1,8,00DC000C191900D3
8427,6B1,8,00DC000C191900D3
8443,490,3,900000
8507,123,2,ABCD
8539,6B1,8,00DC000C191900D3
8555,501,8,0E9D0E90029E029B
8587,200,1,48
8639,6B1,8,00DC000C191900D3
8683,501,8,0EA00E9402A802A6
8699,123,2,ABCD
8730,490,3,900000
8747,6B1,8,00DC000C191900D3
8795,501,8,0E9D0E9402A302A2
8854,200,1,48
8902,123,2,ABCD
8917,501,8,0E980E9402AA02A8
8933,600,1,01
8950,6B1,8,00DC000C191900D3
9029,490,3,900000
9045,501,8,0E9E0E9002A2029D
9093,014,8,t
9141,490,3,900000
9158,6B1,8,00DC000C191900D3
9237,490,3,900000
9253,6B1,8,00DC000C191900D3
9285,501,8,0E9F0E9502A1029F
9301,123,2,ABCD
9333,200,1,48
9365,6B1,8,00DC000C191900D3
9397,501,8,0E9B0E90029A02A3
9428,600,1,01
9477,DC0,0,0C
9493,123,2,ABCD
9525,501,8,0E9D0E9002AE029F
9540,490,3,900000
9573,6B1,8,00DC000C191900D3
9588,200,1,48
9636,490,3,900000
9684,6B1,8,00DC000C191900D3
9701,123,2,ABCD
9732,490,3,900000
9765,501,8,0EA00E9002A4029E
9781,6B1,8,00DC000C191900D3
9829,200,1,48
