118,6B1,8,00DC0010191900D7
131,7E3,8,3007000000000000
153,7EB,8,2100000000000000
169,7E3,8,073C003804980110
203,7E3,8,3007000000000000
220,600,1,01
234,501,8,0EA10E9702A502A2
265,7E3,8,3007000000000000
281,7E3,8,073C003805080081
297,7EB,8,103F7C0038050800
324,6B1,8,00DC0010191900D7
340,123,2,ABCD
364,7E3,8,073C0038054000B9
395,7E3,8,3007000000000000
412,6B1,8,00DC0010191900D7
428,7EB,8,103F7C0038057800
462,700,0,00
503,501,8,0EA80EAA02A40296
518,6B1,8,00DC0010191900D7
541,7E3,8,3007000000000000
557,7E3,8,073C003805E80161
573,7EB,8,103F7C003805E800
617,490,3,900000
639,7E3,8,073C00380620009A
664,7E3,8,3007000000000000
705,7E3,8,073C0038065800D2
722,600,1,01
739,7E3,8,073C00380690010A
765,7E3,8,3007000000000000
781,7E3,8,073C003806C80142
797,7EB,8,103F7C003806C8B0
812,7E3,8,3007000000000000
846,6B1,8,00DC0010191900D7
860,7E3,8,073C00380700007B
876,7EB,8,103F7C0038070077
892,490,3,900000
919,7EB,8,21244002639C0000
936,6B1,8,00DC0010191900D7
969,7E3,8,073C0038073800B3
993,7EB,8,2100000000000000
1024,077,0,00
1041,6B1,8,00DC0010191900D7
1062,7EB,8,2100000000000000
1112,501,8,0EAB0E9C02A0029B
1129,7E3,8,073C003807E0015B
1160,6B1,8,00DC0010191900D7
1194,7E3,8,073C003808180094
1226,7E3,8,3007000000000000
1241,6B1,8,00DC0010191900D7
1257,7EB,8,103F7C0038085000
1293,7E3,8,3007000000000000
1322,7E3,8,073C003808880104
1355,123,2,ABCD
1371,7E3,8,073C003808C0013C
1388,7EB,8,103F7C003808C000
1403,7E3,8,3007000000000000
1422,7EB,8,2200000000000000
1494,501,8,0EA80E9702A402A3
1510,7E3,8,073C0038093000AD
1540,7E3,8,3007000000000000
1572,501,8,0EA80E9C02A602A6
1602,490,3,900000
1621,7E3,8,073C003809A0011D
1649,7E3,8,3007000000000000
1663,6B1,8,00DC0010191900D7
1681,7E3,8,073C003809D80155
1713,7E3,8,3007000000000000
1728,123,2,ABCD
1758,7E3,8,3007000000000000
1775,7E3,8,073C00380A4800C6
1817,490,3,900000
1848,7E3,8,073C00380A8000FE
1908,7E3,8,3007000000000000
1941,7EB,8,21F4640800D18040
1956,7E3,8,073C00380AF0016E
1973,7EB,8,103F7C00380AF000
1989,490,3,900000
2017,7EB,8,2100000000000000
2065,7E3,8,073C00380B2800A7
2095,6B1,8,00DC0010191900D7
2126,7E3,8,3007000000000000
2142,7E3,8,073C00380B980117
2159,501,8,0EB00E9C02A202A2
2174,7E3,8,3007000000000000
2198,200,1,48
2215,7E3,8,073C00380BD0014F
2231,7EB,8,103F7C00380BD000
2262,7E3,8,3007000000000000
2296,501,8,0EA40E9C02A7029C
2323,7E3,8,3007000000000000
2339,123,2,ABCD
2372,7E3,8,3007000000000000
2419,490,3,900000
2435,200,1,48
2451,7E3,8,073C00380CB00130
2495,7E3,8,3007000000000000
2510,7E3,8,073C00380CE80168
2526,7EB,8,103F7C00380CE800
2556,7E3,8,3007000000000000
2627,7E3,8,073C00380D2000A1
2643,7E3,8,073C00380D5800D9
2659,7E3,8,3007000000000000
2679,7EB,8,2100000000000000
2708,7E3,8,073C00020D9000DB
2740,600,1,01
2756,501,8,0EA10E9C02A502A2
2788,490,3,900000
2804,6B1,8,00DC0010191900D7
2867,501,8,0EA40EA002A502A0
2883,490,3,900000
2900,6B1,8,00DC0010191900D7
2931,123,2,ABCD
2979,490,3,900000
2996,501,8,0EA30E9C02A002A6
3012,6B1,8,00DC0010191900D7
3075,490,3,900000
3108,501,8,0EA30E9C02A302A2
3123,123,2,ABCD
3187,200,1,48
3219,6B1,8,00DC0010191900D7
3235,501,8,0EAA0E9C02A802A0
3283,490,3,900000
3317,6B1,8,00DC0010191900D7
3331,123,2,ABCD
3347,501,8,0EA80E95029C029F
3379,490,3,900000
3428,7E3,8,0201010000000000
3461,7EB,8,0341018100000000
3490,7EB,8,2100000000000000
